Start date,Start time,Machine No,Machine name,Process No,Line code,Line name,Leader,Problem detail,M/E,Finish date,Finish time,Bdtime,Repair time,Number of machine,BD.time,Status(Machine),Main PIC,Where,What happened,How,Failure category,Maint.category,Implementation detail,Root cause,Countermeasure Root cause,Status (Root cause),P.I.C (RC),Main reason for long time repair,Countermeasure long time breakdown,Status (Long Time),P.I.C (LT),Diagnosis,Spare Part,Tools,Work Ability,Setting Ability,Back up
22-09-25,13:15:52,AM9035,Pulley Assembly & Blot Tightening,30,PSA,Pulley Sub-Assy,Ocha,Alarm cycle time over,E,22-09-25,13:30:58,15,15,1,15,Completed,Chaiwat,Jig set part unit,Photo sensor,Can't home position,Dirty,Cleaning,"1. Check photo sensor part confirm X121 on remain 
2. Cleaning photo sensor 
3. Check photo sensor on-off ok 
4. Test run ok",Photo sensor dirty ,Daily check cleaning photo sensor,Completed,PDT,Diagnosis,Create trouble shooting for problem analysis,Completed,MT,0,0,0,10,5,0
22-09-25,13:48:24,AM9039,Disk & Plate Assembly,20,GSA,Gear Sub-Assy,Arthid,Alarm o-ring check time out,E,22-09-25,13:55:47,7,7,1,7,Completed,Chaiwat,Housing assy unit,Camera,Can't check o-ring,Limit NG,Adjust,"1. Check camera confirm color Avg. oring=28 NG 
2. Adjuse limit camera confirm color Avg.(Before=40/After=28) 
3. Test camera check o-ring ok",Limit camera read value less,Adjust limit camera new,Completed,PE,Diagnosis,PE training camera check o-ring and review camera confirm part all model,Completed,PE,0,0,0,0,7,0
22-09-25,15:15:23,PR9076,DAC Press-fit & Retainer Caulking,20,PSA,Pulley Sub-Assy,Ocha,Alarm tracebility pre-process NG,E,22-09-25,15:20:43,5,5,1,5,Completed,Chaiwat,Tracebility system,Cable,Can't reset alarm,Loose,Lock,"1. Check connector cable for tracebility loose 
2. Lock connector cable for tracebility 
3. Reset alarm and test run auto ok",Connector cable traceability is loose,Lock connector firmly and apply cable clamp / marker,Completed,MT,Diagnosis,Lock cable traceability all point,Completed,MT,0,0,0,5,0,0
22-09-25,15:40:01,ME9082,Belt Tension Adjustment,120,GSA,Gear Sub-Assy,Arthid,Alarm PC fault,M,23-09-25,16:20:04,650,650,1,650,Completed,Chaiwat,MCU clamp up-down unit,MCU clamp up-down,Test graph NG,Position NG,Adjust,"1. Check PC alrm code Error2 (PE adjust servo operation abnormal) 
2. Compaer parameter of PC 
3. Check MCU clamp up-down position NG 
4. PE adjust position MCU clamp up-down 
5. Test run and check graph ok",Position clamp up-down NG (Machine setting not good),Adjust position MCU clamp and setting parameter PC,Completed,PE,Diagnosis,PE is in the process of setup and problem resolution,On process,PE,195,0,0,450,5,0
24-09-25,15:40:00,WM9063,Washing & Air blow,40,RH2,Housing Assy No.2,Ocha,Machine not home position,M,24-09-25,16:20:34,40,40,1,40,Completed,Chaiwat,Washing system,Proximity sensor,Can't home position,Not on,Adjust,"1. Check signal X70 washing room 2 not on 
2. Check bolt lock bracket proximity sensor broken 
3. Change new bolt and lock stopper plate 
4. Adjust position proximity sensor
5. Test run ok",Stopper plate to hit proximity sensor (Position proximity sensor NG),Adjust position proximity sensor distance to prevent collision,Completed,MT,Spare Part,Modify plate sensor new,Completed,MT,10,0,0,20,10,0
24-09-25,16:20:00,AM9035,Pulley Assembly & Blot Tightening,30,PSA,Pulley Sub-Assy,Ocha,Alarm cycle time over,E,24-09-25,17:20:00,60,40,1,60,Completed,Sangtawan,Plate spring advance-return unit,Laser sensor,Running remain,Not on,Adjust,"1. Check laser sensor plate spring confirm X122 not on 
2. Adjustment limit amp sensor Befoer=1100 After=1300 
3. Test run ok",Position leser sensor detect signal abnormal,Adjust position leser sensor detect new,Completed,MT,Work Ability,PE training on adjustment method,Completed,PE,10,0,0,20,10,0
24-09-25,17:00:00,AM9039,Disk & Plate Assembly,20,GSA,Gear Sub-Assy,Arthid,Alarm o-ring check time out,E,24-09-25,17:30:08,30,30,1,30,Completed,Worraphol,Jig set part unit,Camera,Can't check o-ring,Limit NG,Adjust,"1. Check camera confirm color Avg.= 28 NG 
2. Adjust limit camera confirm color Avg. (Before=28, After=40) model 581D 
3. Test run ok",Limit camera read value less,Adjust limit camera new,Completed,MT,Diagnosis,PE training camera check o-ring,Completed,PE,5,0,0,10,15,0
25-09-25,10:15:00,AM9039,Disk & Plate Assembly,20,GSA,Gear Sub-Assy,Arthid,Alarm o-ring check time out,E,25-09-25,10:20:00,5,5,1,5,Completed,Worraphol,Jig set part unit,Camera sensor,Can't check o-ring,Limit NG,Adjust,"1. Check camera confirm Avg. o-ring = 30 
2. Adjust limit camera confirm Avg.(Before=50, After=25) 
3. Test confirm Avg. o-ring = 67 ok",Camera position change (Loose bolt),Lock the screw/camera mount and mark the position,Completed,MT,Diagnosis,PE training camera check o-ring,Completed,PE,0,0,0,0,5,0
25-09-25,11:10:00,PR9067,Mount Bush Press-fit,20,RH2,Housing Assy No.2,Ocha,Alarm lower chuck U/D cylinder cycle time out,E,25-09-25,11:27:00,17,17,1,17,Completed,Worraphol,Lower chuck up-down unit,Auto sensor,Can't return,Not on,Adjust,"1. Check auto sensor lower chuck clamp not on 
2. Adjust auto sensor lower chuck clamp 
3. Test run ok",The auto sensor position of the lower chuck clamp is loose,Establish standardized auto sensor positioning and mark reference point,Completed,MT,Spare Part,Stock auto sensor,Completed,PE,0,0,0,10,7,0
25-09-25,13:00:00,KJ9135-1,Sensor Sub-Assy Tightening,60,GSA,Gear Sub-Assy,Arthid,Alarm IV3 (O-ring LHD) error,E,25-09-25,13:20:00,20,20,1,20,Completed,Chaiwat,Jig set part unit,Camera,Can't check o-ring,Position NG,Adjust,"1. Check camera confirm o-ring & wave washer NG 
2. Setting master ok o-ring & wave washer new 
3. Setting master NG o-ring & wave washer new 
4. Test run ok",Position tool camera abnormal,Set position tool new,Completed,PE,Diagnosis,PE training camera to MNT,Completed,PE,5,0,0,5,10,0
25-09-25,14:00:00,MX9022,DMC Laser Marking,10,RH1,Housing Assy No.1,Ocha,Alarm cycle time over,E,25-09-25,15:30:00,90,80,1,90,Completed,Chaiwat,Auto door unit,Support auto door,Up not end,Loose,Lock,"1. Check PLC signal X00F (Auto door close end) not on 
2. Check position auto door close not end 
3. Check nut lock support cylinder auto door loose 
4. Lock nut and set position auto door 
5. Test run ok",Nut lock support cylinder auto door loose,Add spring washer anti loosening,Completed,MT,Diagnosis,PE request maker check confirm machine,Completed,PE,10,0,0,60,10,0
25-09-25,14:17:00,ME9082,Belt Tension Adjustment,120,GSA,Gear Sub-Assy,Weerapong,Can't bolt tightening,M,25-09-25,14:30:00,13,13,1,13,Completed,Worraphol,Belt tension unit,Tool titening,Can't bolt tightening,Broken,Change,"1. Check tool titening broken 
2. Change new tool titening 
3. Test run ok",Tool broken,PE order tool,Completed,PE,Diagnosis,Add tool life for PDT change tool,Completed,PE,0,0,0,0,13,0
25-09-25,16:05:00,CV9001,Reverse Pallet Conveyance,10,GA,Gear Assy,Weerapong,Alarm ST6 turn lifter time over,M,25-09-25,17:50:00,85,85,1,85,Completed,Chaiwat,Station 6,Pallet swing,Can't swing,Sticky,Adjust,"1. Check position pallet swing to hit cover conveyor 
2. Adjust position pallet up-down station6 
3. Test swing pallet ok",Position pallet up NG,Adjust position pallet up,Completed,MT,Diagnosis,Create trouble shooting for problem analysis,Completed,MT,30,0,0,50,5,0
26-09-25,13:20:50,KJ9136-2,MCU Assembly & Pre-Tightening,100,GSA,Gear Sub-Assy,Weerapong,Pallet not supply,M,27-09-25,13:22:09,2,2,1,2,Completed,Worraphol,Pallet supply unit,Pallet,Can't supply.,Sticky,Reset,"1. Check pallet sticky 
2. Reset alarm and test pallet supply ok",Pallet sticky,Reset alarm and supply pallet,Completed,PDT,Diagnosis,PE training pallet system,Completed,PE,0,0,0,2,0,0
26-09-25,14:50:10,AM9035,Pulley Assembly & Blot Tightening,30,PSA,Pulley Sub-Assy,Ocha,Alarm cycle time over,E,26-09-25,14:55:00,5,5,1,5,Completed,Worraphol,Electric control unit,Lan cable,Disconnect,Loose,Lock,"1. Check condition traceabillity signal abnormal 
2.Check connect LAN loose 
3. Lock LAN cable and test run ok",Control electric have vibetion,Add plan addition rubber setting under control electric,Completed,MT,Diagnosis,PE training traceability system,Completed,PE,0,0,0,5,0,0
26-09-25,17:40:24,KJ9137-2,Side Cover Tightening,130,GSA,Gear Sub-Assy,Weerapong,Alarm light curtain shoding fault,E,26-09-25,17:45:49,5,5,1,5,Completed,Chaiwat,Light curtain unit,Support light curtain,Can't on confirm signal,Loose,Lock,"1. Check bolt lock support light curtain loose 
2. Lock support light curtain 
3. Test run mc ok.",Bolt support light curtain loose,Add loctite bolt lock support light curtain,Completed,MT,Work Ability,Re-tightening bolt,Completed,MT,0,0,0,5,0,0
26-09-25,18:25:02,ME9086,Noise Inspection,50,GA,Gear Assy,Kittipon,Alarm measurement PC data save abnormal,E,26-09-25,18:30:12,5,5,1,5,Completed,Chaiwat,PC unit,USB,Can't save data,Full,Change,"1. Check USB for PC unit full 
2. Change new USB 
3. Test run mc ok.",USB Memmory full,Change new USB,Completed,PE,Diagnosis,PE training PDT change new USB,Completed,PE,0,0,0,0,5,0
29-09-25,09:04:31,KJ9136-2,MCU Assembly & Pre-Tightening,100,GSA,Gear Sub-Assy,Weerapong,Alarm grease application over time error,E,29-09-25,09:20:58,16,16,1,16,Completed,Worraphol,Grease supply unit,Proximity sensor,Can't on confirm position grease supply,Position NG,Adjust,"1. Adjustment proximity sensor confirm position grease supply 
2. Test on off signal ok 
3. Test run machine ok",Position sensor confirm grease supply loose,Lock position sensor confirm grease supply new,Completed,MT,Diagnosis,Have PE provide training on machine operation,Completed,PE,10,0,0,0,6,0
29-09-25,19:10:40,KJ9136-1,Rack Guide Assembly,90,GSA,Gear Sub-Assy,Weerapong,LM guide for work clamp fall off,M,29-09-25,19:20:59,10,10,1,10,Completed,Chaiwat,Clamp unit,LM guide.,Can't clamp work.,Broken,Change,"1. Check bolt lock stopper broken 
2. Assemble LM guide for work clamp unit 
3. Change and lock bolt stopper
4. Test run machine ok",Bolt lock stopper broken (Design not good),PE desing stopper new,Completed,PE,Spare Part,PE design and change new bolt lock LM guide,Completed,PE,0,0,0,10,0,0
30-09-25,07:50:00,LA9068,Ends Machining,20,RB,Rack Machining,Wirot,Alar right main chuck close ,M,30-09-25,08:10:24,20,20,1,20,Completed,Apisit U.,Chuck clamp unit,Coller clamp,Clamp unclamp abnormal,Dirty,Cleaning,"1. Check chuck R clamp sensor confirm chuck clamp on off abnormal 
2. Take of coller clamp and check in side chuck dirty 
3. Cleaning inside chuck R clamp 
4. Test run M/C ok",Collet clamp dirty,Request PDT cleaning collet clamp,Completed,PDT,Work Ability,Add self maintenance for PDT cleaning collet clamp,Completed,PDT,5,0,0,15,0,0
30-09-25,08:30:02,MX9021,DMC Leser Marking,10,PS,Pinion Machining,Akapong,Alarm work in loader gripper ,M,30-09-25,08:45:39,15,15,1,15,Completed,Apisit,Work rotation unit,Jig support jig,Can't rotation.,Loose,Lock,"1. Check gripper clamp unclamp ok 
2. Check and cleaning spring support jig rotation 
3. Check jig support part loose 
4. Lock shaft support jig new 
5. Test rotation jig ok",Jig support part loose,Lock confirm jig,Completed,MT,Spare Part,PE design new shaft,Completed,PE,5,0,,10,0,0
30-09-25,09:40:00,KJ9133,Visual Inspection,190,RB,Rack Machining,Wirot,DMC can't reader,E,30-09-25,09:45:43,5,5,1,5,Completed,Apisit U.,DMC code reader unit,DMC code reader,Can't confirm cord,Position NG,Adjust,"1. Check DMC code reader position NG 
2. Tuning DMC code reader 
3. Test reader DMC ok",Tuning DMC code reader NG,Tuning DMC code reader check part give it well,Completed,MT,Work Ability,Review DMC code reader check part all model,Completed,PE+MT,0,0,0,0,5,0
30-09-25,11:20:14,ME9076,Sensor Balancing,60,SA,Sensor Assy,Wicha,Alarm press NG,M,30-09-25,11:30:48,10,10,1,10,Completed,Chaiwat,Pin supply unit,Hose supply pin.,Pin can't supply.,Bend,Change,"1. Check pin not supply 
2. Check air hose for pin supply bent 
3. Change new air hose for pin supply 
4. Test mc auto ok",Install air hose not good,Change new air hose,Completed,MT,Work Ability,Keep air hose new,Completed,MT,4,0,0,6,0,0
30-09-25,13:00:00,HT9005,"Teeth Side Induction Hardening 
And Tempering",70,RB,Rack Machining,Wirot,Machine running remain,M,30-09-25,13:30:03,30,30,1,30,Completed,Sangtawan S.,In put ST unit,Auto sensor,Can't confirm position down end,Position NG,Adjust,"1. Check auto sensor cylinder input ST turning chuck up down position NG 
2. Adjustment auto sensor cylinder input ST unit 
3. Test up down confirm sensor on ok 
4. PDT Test auto cycle machine ok",Auto sensor position NG (Auto sensor position is not center),Adjust position auto sensor to center,Completed,MT,Work Ability,Create trouble shooting for problem analysis,Temporary,MT,10,0,0,20,0,0
30-09-25,17:20:58,KJ9136-2,MCU Assembly & Pre-Tightening,100,GSA,Gear Sub-Assy,Arthid,Bolt broken,M,30-09-25,17:30:38,10,10,1,10,Completed,Apisit,Jig set part unit,Bolt,Can't setting MCU,Broken,Change,"1. Take off bolt is broken of jig support MCU unit 
2. Change new bolt lock jig support MCU 
3. PDT test assembly MCU ok",Jig set MCU have vibetion (Design not good),PE desing jig set MCU new,On process,PE,Tools,PE design new bolt lock support MCU,Temporary,PE,0,0,0,10,0,0
01-10-25,08:00:00,HT9005,"Teeth Side Induction Hardening 
And Tempering",70,RB,Rack Machining,Wirot,Can't master on,E,10-01-25,09:00:12,60,60,1,60,Completed,Sangtawan S.,Auto door unit,Safety switch.,Can't lock safety,Broken,Change,"1. Check machine can't master on 
2. Check safety door (DLK3) broken 
3. Change safety door (DLK3) 
4. Master on and test run machine ok",Safety door broken (Rack bar to hit),Change new safe door and request PDT increase caution,Completed,MT,Work Ability,Make cover safety door,On process,MT,5,5,0,50,0,0
01-10-25,09:40:00,ME9072,Ball Screw Side Straightening,150,RB,Rack Machining,Wirot,Alarm center racing error,M,10-01-25,12:00:32,140,140,1,140,Completed,Sangtawan S.,Center clamp unit,Set screw,Center can't rotation,Loose,Lock,"1. Check PLC condition home D0010 and D0011 not on 
2. PDT.Change model complete 
3. Check center clamp abnormal 
4. Check coupling lock to center loose 
5. Lock set screw and add loctite  
6. Test rotation center ok",Set screw lock coupling loose,Add loctite set screw anti-loose,Completed,MT,Work Ability,Create trouble shooting for problem analysis,On process,MT,120,0,0,20,0,0
01-10-25,14:50:39,AM9035,Pulley Assembly & Blot Tightening,30,PSA,Pulley Sub-Assy,Ocha,Alarm NR2 up down LS SOL fault,M,10-01-25,15:20:23,30,30,1,30,Completed,Apisit,Nut runner unit,Stopper NR2,Cylinder nut runner dwn not end,Loose,Lock,"1. Check cylinder NR2 down not 
2. Check bolt lock stopper NR.2 down loose 
3. Lock stopper and loctite new 
4. Test run machine ok",Bolt lock stopper loose,Lock bolt and add loctite,Completed,MT,Diagnosis,Re-tightening bolt,Completed,MT,5,0,0,20,5,0
02-10-25,18:05:19,ME9082,Belt Tension Adjustment,120,GSA,Gear Sub-Assy,Arthid,Machine running remain,E,10-02-25,18:25:11,20,20,1,20,Completed,Apisit,Pallet conveyer unit,Connect cylinder stopper,Can't down,Loose,Lock,"1. Check cylinder stopper ok 
2. Check connect wiring of cylinder stopper up down loose 
3. Lock connect wiring 
4. Test run machine ok",Connect cylinder loose,Lock connect new,Completed,MT,Diagnosis,Create trouble shooting for problem analysis,Completed,MT,5,0,0,10,5,0
02-10-25,19:00:00,WM9058,Washing & Air blow,120,RB,Rack Machining,Wirot,Alarm abnormal work rotation,E,10-02-25,19:15:47,15,15,1,15,Completed,Sangtawan S.,Work rotation unit,Proximity sensor,Proximity sensor on off abnormal,Dirty,Cleaning,"1. Check proximity sensor confirm work rotation on remain(X49) 
2. Check proximity sensor confirm work rotation dirty 
3. Cleaning and adjustment position proximity sensor confirm work rotation 
4. Test run mc ok.",Proximity sensor dirty,Request PDT cleaning proximity sensor,Completed,MT,Work Ability,Create trouble shooting for problem analysis,On process,MT,5,0,0,10,0,0
04-10-25,07:30:00,HT9006,"Ball Screw Side Induction 
Hardening And Tempering",140,RB,Rack Machining,Soranat,Alarm quenching ST workpiece rotation lower limit over,M,10-04-25,11:00:00,200,160,1,200,Completed,Chaiwat T.,Quenching station unit,Rotary shaft,Rotation unsmooth,Fall off,Lock,"1. Check rotary shaft quenching unit rotation un smooth 
2. Take off and check pin off rotary shaft fall off 
3. Lock pin and assamble rotary shaft unit 
4. Test rotary shaft rotation ok",Pin lock rotary shaft fall off (Design NG),Add loctite anti-loose,Completed,MT,Work Ability,PE request maker check ,Temporary,PE,10,0,10,140,0,0
06-10-25,09:28:00,CV9011,"Conveyor Part for Rolling 
No.1 Machine",110,RB,Rack Machining,Wirot,Can't transfer work to next process,E,10-07-25,10:08:12,30,28,1,30,Completed,Worraphol P.,Transfer loder converyor unit,Photo sensor,Can't check part,Cut,Change,"1. Check converyor not supply rack bar 
2. Check photo sensor confirm part cable cut  
3. Change new photo sensor 
4. Test run ok",Cable photo sensor is not properly keep,Keep cable photo sensor properly,Completed,MT,Work Ability,PE request maker JTAP check machine,Completed,MT,4,6,0,18,0,0
06-10-25,14:20:00,GR9037,Centerless Grinding,10,RB,Rack Machining,Wirot,Work confirm sensor alarm,E,10-06-25,15:00:38,30,30,2,15,Completed,Apisit U.,Transfer loader unit,Support proximity sensor,Can't confirm work,Bend,Repair,"1. Check support sensor clamp part bent 
2. Take off support sensor and repair support 
3. Assemble support sensor 
4. Test clamp unclamp part ok",Support sensor clamp bent (Design NG),Repair support sensor and adjust position support sensor,Completed,MT,Spare Part,PE design new support sensor,Temporary,PE,5,10,0,15,0,0
06-10-25,15:10:00,MX9020,Brushing And Back Side Buffing,160,RB,Rack Machining,Soranat,Alarm differrent diameter detection,E,10-06-25,15:30:00,20,20,1,20,Completed,Chaiwat T.,Tooth surface detection unit,Connector proximity sensor,Can't reset alarm,Loose,Lock,"1. Check PLC X1070 (Tooth surface detection) not on 
2. Check connector proximity sensor loose 
3. Lock  connector proximity sensor  
4. Test run machine ok",Connector proximity sensor loose ,Lock confirm connector proximity sensor all machine,Completed,MT,Work Ability,Create trouble shooting for problem analysis,Temporary,MNT,10,0,0,10,0,0
07-10-25,01:30:00,CV9011,"Conveyor Part for Rolling 
No.1 Machine",110,RB,Rack Machining,Wirot,Can't transfer work to next process,E,10-07-25,14:40:07,60,60,1,60,Completed,Apisit U.,Work transfer unit,Photo sensor,On off abnormal,Position NG,Adjust,"1. Take off cover 
2. Check support sensor position NG 
3. Adjustment position support sensor 
4. Test on off signal ok",Support photo sensor position NG,Adjustment support photo sensor,Completed,MT,Diagnosis,Make JI for machine repair,Temporary,MNT,5,0,0,55,0,0
07-10-25,08:05:00,GR9038,Centerless Grinding,10,RB,Rack Machining,Soranat,Machine grinding have noise,M,10-07-25,10:10:00,115,90,2,57.5,Completed,Chaiwat T.,Grinding unit,Belt,Grinding have noise,Tension NG,Adjust,"1. Take off cover belt 
2. Check belt GW. tension NG = 28 kgf/10mm (Spec in manual=25kgf/10mm) 
3. Adjust tension belt GW. = 25kgf/10mm ok 
4. Assemble cover and test run ok",Tension belt NG,Adjust tension belt,Completed,MT,Diagnosis,Create trouble shooting for problem analysis,Completed,MNT,40,0,0,50,0,0
07-10-25,10:50:14,CV9007,"Conveyor Part for Induction -Teeth 
Skiving Machine",-,PS,Pinion Machining,Soranut,Loader can't forward-reward ,M,10-07-25,11:10:45,20,20,1,20,Completed,Worraphol,Loader unit,cover stainless IAI,Can't slide,Sticky,Cleaning,"1. Check IAI loder not foward reward (Sticky) 
2. Check cover stainless wear (Not hanve spare part) 
3. Cleaning stainless cover IAI
4. Home position and test run ok (Temporary use)",Cover IAI stainless wear,Order cover IAI,Completed,PE,Spare Part,PE add stock cover stand plate,Completed,PE,5,0,0,15,0,0
07-10-25,13:35:00,CV9007,"Conveyor Part for Induction -Teeth 
Skiving Machine",-,PS,Pinion Machining,Soranut,Loader can't forward-reward ,M,10-07-25,13:45:00,10,10,1,10,Completed,Chaiwat,Loader unit,Cover stainless IAI,Can't slide,Wear,Take off,"1. Check IAI loder not foward reward 
2. Check cover stainless ware (Not hanve spare part) 
3. Temporary take off stainless cover 
4. Test run ok",Cover IAI stainless wear,Order cover IAI,Completed,PE,Spare Part,PE add stock cover stand plate,Completed,PE,0,0,0,10,0,0
07-10-25,16:00:00,WM9058,Washing & Air blow,120,RB,Rack Machining,Wirot,Alarm abnormal work rotation,E,10-07-25,17:40:45,80,80,1,80,Completed,Apisit U.,Work rotation unit,Proximity sensor,Can't confirm work rotation,On remain,Change,"1. Check proximity sensor confirm work rotation on remain 
2. Check signal proximity sensor on off abnormal 
3. Change new proximity sensor confirm work rotation 
4. Test run machine ok",Proximity sensor wear (Position proximity sensor NG),Change new proximity sensor and adjust position,Completed,MT,Work Ability,Make kaizen modfy and move support proximity sensor,Completed,MNT,10,7,0,63,0,0
07-10-25,16:50:31,LA9072,I.D. Turning,70,PS,Pinion Machining,Narongsak,Tool No.7 slip from turret,M,10-08-25,10:30:34,320,320,1,320,Completed,Worraphol,Turret unit,Turret,Can]t change tool,Position NG,Setting,"1. Check tool NO.7 slip (PDT mistake) 
2. Check position and parallel turret NG 
3. PDT off set X axis NO.W005 before 0.000 set 210.0 
4. Test run ok 
5. QC check data ok",PDT lock tool NO.7 loose,Make WI change tool,Completed,PDT,Tools,Training member change tool,Completed,PDT,30,0,20,40,230,0
08-10-25,16:20:00,MX9022,DMC Laser Marking,10,RH1,Housing Assy No.1,Arthid,Alarm DMC laser marking,M,10-08-25,18:40:00,120,115,1,120,Completed,Chaiwat,Laser mark unit,Jig set part,Check QR code NG,Loose,Lock,"1. Check value matching level=22% NG 
2. Check jig set part loose 
3. Add pin lock jig 
4. Test run machine and check value matching level = 85-95% ok",Jig set part loose (Design not good),Add pin lock jig,Completed,MT,Spare Part,PE design new jig,Completed,PE,50,0,0,55,10,0
