Start date,Start time,Machine No,Machine name,Process No,Line code,Line name,Leader,Problem detail,M/E,Finish date,Finish time,Bdtime,Repair time,Number of machine,BD.time,Status(Machine),Main PIC,Where,What happened,How,Failure category,Maint.category,Implementation detail,Root cause,Countermeasure Root cause,Status (Root cause),P.I.C (RC),Main reason for long time repair,Countermeasure long time breakdown,Status (Long Time),P.I.C (LT),Diagnosis,Spare Part,Tools,Work Ability,Setting Ability,Back up
11-09-25,09:00:00,AM9039,Disk & Plate Assembly,20,GSA,Gear Sub-Assy,Arthid,Alarm transfer 3 Z-Axis robo cylinder ,M,09-11-25,09:10:22,10,10,1,10,Completed,Apisit A. ,Grease supply unit,ROBO cylinder.,ROBO cylinder down not end.,Position NG,Return ,"1. Check ROBO cylinder down supply grease not end 
2. Check position NG have spring 2 Pcs 
3. Return ROBO cylinder and take off spring 
4. Test machine ok",PDT.Setting spring mistake,Make JI for setting spring and training member,Completed,PDT,Diagnosis,PDT make JI for machine operation,Temporary,PDT,5,0,0,0,10,0
15-09-25,16:50:00,ME9082,Belt Tension Adjustment,120,GSA,Gear Sub-Assy,Arthid,Alarm PC fault,E,15-09-25,19:20:00,150,30,1,150,Completed,Apisit U.,Torque unit,Cable,Test NG,Bend,Change,"1. Check signal torque NG 
2. Change new cable torque  
3. PDT test run machine OK",Cable torque broken (Design not good),Change new type cable torque,Completed,MT,Spare Part,Stock signal cables,Temporary,PE,10,0,0,0,20,0
16-09-25,07:50:00,IM9003,Magnet Resin Molding,20,IS(RP),Input Shaft Assy,Soranat,Machine running remain,M,16-09-25,09:30:02,100,70,1,100,Completed,Chaiwat,Molding unit,Ejector,Can't return,Sticky,Cleaning,"1. Check eject off molding can't return 
2. PDT Take off molding 
3. Check eject sticky 
4. Cleaning eject 
5. PDT Install molding and test run ok",Ejector off molding sticky (Inside is dirty),Set self maintenance for mold cleaning,Completed,PDT,Diagnosis,Have PDT make JI for mold change,Temporary,PDT,10,0,0,60,0,0
16-09-25,12:30:00,KJ9136-2,MCU Assembly & Pre-Tightening,100,GSA,Gear Sub-Assy,Arthid,Alarm grease application cycle part code macth NG,E,16-09-25,13:00:08,30,25,1,30,Completed,Chaiwat T.,Traceability system,COM PC,Number part code not macth,Error,Restart,"1. Check part code on machine = 020092 ok 
2. Check number code on traceability = 020091 NG 
3. Restart COM PC and traceability 
4. Test run ok",Traceability system error (Not sure),PE check traceability system,Completed,PE,Diagnosis,PE training traceability system,Completed,PE,0,0,0,0,25,0
16-09-25,14:20:00,PR9068,Mount Bush Press-fit,30,RH2,Housing Assy No.2,Ocha,Alarm lower chuck U/D cylinder cycle time out,M,16-09-25,15:20:55,50,50,1,50,Completed,Chaiwat,Chuck up-down unit,Cylinder,Press mount bust position NG.,Position NG,Adjust,"1. Check position mount bush NG 
2. Adjust stopper cylinder lower mount bush 
3. Test run machine and check position mount bush ok",Mount bush is move position (Jig clamp bush design not good),Change new design jig clamp bush,Completed,PE,Work Ability,Have PE provide training on position setting,Completed,PE,10,0,0,20,20,0
17-09-25,08:20:00,GR9043,Thread Grinding,10,BN,Nut Machining,Soranat,Lubricant oil leak,M,17-09-25,10:00:37,90,70,3,30,Completed,Chaiwat,Lubricant system,Fitting joint,Lubricant leak,Loose,Lock,"1. Check lubricant oil leak at fitting joint (Hose No.X1J3) 
2. Lock fitting joint and test run machine ok",Fitting joint loose (Design not good),Lock confirm joint lubricant all,Completed,MT,Work Ability,Create trouble shooting for problem analysis,Temporary,MT,40,0,0,30,0,0
17-09-25,11:05:00,IM9003,Magnet Resin Molding,20,IS(RP),Input Shaft Assy,Soranut,Alarm air drop bar cylinder is abnormal,E,17-09-25,11:30:14,25,20,1,25,Completed,Apisit,Electric control unit,Safety module,Can't reset alarm,Error,Reset,"1. Check solenoid valve drop bar (SV3) ok 
2. Check support cylinder drop bar unit not sticky ok 
3. Check safety module error
4. Power off-on machine and reset alarm 
5. Test run machine ok",Safety module error (Not sure),Monitoring ,Temporary,MT,Spare Part,Stock solenoid valve,Temporary,PE,15,0,0,5,0,0
18-09-25,10:40:00,LA9070,O.D. Turning And Roller Burnishing,90,RB,Rack Machining,Soranat,Alarm work counter warning count up,E,18-09-25,16:10:57,260,60,3,86.66666667,Completed,Apisit U.,Roller unit,Counter,Roller counter up,Tool life,Reset,"1. Check PLC condition counter on (R18923) Can't reset alarm (New option)
2. Information problem to maker DMG MORI
3. Reset banishi support roller 
4. PDT Test run M/C ok",Roller warning tool life (Not know method to reset alarm),Make JI method to reset alarm and training member,Completed,MT,Diagnosis,Have PDT. make JI for tool life reset,Completed,PDT,30,0,0,10,20,0
19-09-25,11:05:00,PR9071,P/S Bearing Press-fit & Ring Caulking,20,SA,Sensor Assy,Soranat,Alarm chuck picking up mistake,M,19-09-25,13:00:00,55,50,1,55,Completed,Chaiwat,Loader Unit,Jig & Spring,Running remain,Wear,Cleaning,"1. Take off jig loader F/B unit 
2. Check inside jig loader dirty and spring press wear 
3. Cleaning jig loader F/B and change new spring 
4. PDT test run OK 5. QC check data OK",Inside jig loader dirty and spring press wear (Design not good),Change new design jig loader,Completed,PE,Work Ability,Stock spring,Temporary,PE,15,0,0,25,10,0
22-09-25,11:25:43,KJ9135-1,Sensor Sub-Assy Tightening,60,GSA,Gear Sub-Assy,Arthid,DMC can't check barcode,E,22-09-25,13:05:14,40,40,1,40,Completed,Worraphol,Support DMC,DMC code reader,Can't check barcode,Loose,Lock,"1. Check position support DMC loose 
2. Adjust support DMC and lock support 
3. Test run ok",Bolt lock support DMC is loose (Design not good),Design new DMC support,Completed,MT,Diagnosis,Have PE design new DMC support,Temporary,PE,10,0,0,10,20,0
